stop_id,stop_name,stop_lat,stop_lon,trip_count,routes
0111BEK,Belgian Embassy/Karura,-1.24701,36.8156,5,106 107 114R 116 11B
0111BPY,Bypass,-1.205771,36.779341,2,107 114R
0111BUK,Kabuku Stage,-1.154742,36.674973,1,114R
0111CEP,PCEA,-1.189026,36.737536,1,114R
0111CNT,Container,-1.197222,36.899552,1,107D
0111CRA,Car Wash,-1.217108,36.777061,1,108
0111EDH,The Dam,-1.170045,36.701237,1,114R
0111EED,Ndenderu,-1.192217,36.743563,1,114R
0111ENP,Dispenser,-1.190346,36.739048,1,114R
0111EYE,Membley,-1.156393,36.925105,1,107D
0111FRM,Muguku Farm/GD,-1.176554,36.718575,1,114R
0111GIE,Sovereign,-1.169589,36.700159,1,114R
0111GIM,Muthaiga Mini Market,-1.250151,36.820748,1,106
0111HDE,Shade,-1.193896,36.749592,1,114R
0111HRT,Mothero,-1.166445,36.693617,1,114R
0111IAC,Pa Machiri,-1.172894,36.712057,1,114R
0111ICT,Quickmart,-1.206678,36.78331,2,114R 107D
0111IGA,Gacharaini,-1.201394,36.763483,1,107
0111IGK,Kobil Gigiri,-1.23923,36.811441,1,11B
0111IME,Milele,-1.201036,36.76266,1,114R
0111ISE,Site,-1.178182,36.722542,1,114R
0111JEK,Kwa Njoki,-1.194099,36.778615,2,106 116
0111JM,JM,-1.188322,36.906381,1,107D
0111KAN,Aga Khan,-1.262254,36.82537,1,116
0111KAU,Kianjogu Stage,-1.181209,36.727208,1,114R
0111KEA,Kiambea,-1.198614,36.784122,2,106 116
0111KIV,Kibutu Stage/Bread of Life,-1.188314,36.771234,2,106 116
0111KNA,Kona,-1.220945,36.778584,1,108
0111KNE,Aga Khan Entrance,-1.261342,36.825842,1,11B
0111KOG,Kobil Gigiri,-1.239407,36.811688,1,106
0111KRU,Karura/Runda,-1.22082,36.80136,5,106 107 114R 116 11B
0111LIS,Emsoil,-1.195988,36.752585,1,114R
0111LON,Joyland,-1.204929,36.77661,2,107 114R
0111LSO,Chantilly School,-1.180808,36.761912,1,116
0111MAO,Mwambao,-1.256382,36.826091,1,114R
0111MCM,Mirai Court/Mifereji,-1.20322,36.77046,2,107 114R
0111MIF,Mfereji,-1.203889,36.773032,1,114R
0111MKT,Makutano,-1.159354,36.743484,1,116
0111MME,Muthaiga Mini Market,-1.250145,36.820786,1,11B
0111MRE,Muthaiga Mini Market,-1.250199,36.82073,1,114R
0111NDS,Ndenderu Stage/Shell,-1.19303,36.74802,2,107 114R
0111NKM,Nakumatt/Post Office,-1.26012,36.81825,1,11A
